name,rarity,planType,category,stamina,forceStamina,costType,costValue,playProduceExamTriggerId,playMovePositionType,moveEffectTriggerType,moveProduceExamEffectIds,isEndTurnLost,isInitial,isRestrict,produceCardStatusEnchantId,searchTag,libraryHidden,noDeckDuplication,unlockProducerLevel,rentalUnlockProducerLevel,evaluation,originIdolCardId,originSupportCardId,isInitialDeckProduceCard,effectGroupIds,viewStartTime,isLimited,order,produceExamTriggerId1,produceExamEffectId1,hideIcon1,produceExamTriggerId2,produceExamEffectId2,hideIcon2,produceExamTriggerId3,produceExamEffectId3,hideIcon3,produceExamTriggerId4,produceExamEffectId4,hideIcon4
アイドル宣言+,SR,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,23,20,47,,,False,"['effect_group-visible-exam_stamina_consumption_down-000', 'effect_group-visible-exam_card_draw-000', 'effect_group-visible-exam_playable_value_add-000']",0,False,32000230000012,,e_effect-exam_playable_value_add-01,False,,e_effect-exam_card_draw-0002,False,,e_effect-exam_stamina_consumption_down-01,False,,,
アイドル宣言++,SR,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,23,20,0,,,False,"['effect_group-visible-exam_stamina_consumption_down-000', 'effect_group-visible-exam_card_draw-000', 'effect_group-visible-exam_playable_value_add-000']",0,False,32000230000012,,e_effect-exam_playable_value_add-01,False,,e_effect-exam_card_draw-0002,False,,e_effect-exam_stamina_consumption_down-02,False,,,
アイドル宣言+++,SR,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,23,20,0,,,False,"['effect_group-visible-exam_stamina_consumption_down-000', 'effect_group-visible-exam_card_draw-000', 'effect_group-visible-exam_playable_value_add-000']",0,False,32000230000012,,e_effect-exam_playable_value_add-01,False,,e_effect-exam_card_draw-0002,False,,e_effect-exam_stamina_consumption_down-03,False,,,
ハイテンション,SR,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,,23,20,35,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down-000']",0,False,32000230000014,,e_effect-exam_block-0011,False,,e_effect-exam_block_restriction-02,False,,e_effect-exam_stamina_consumption_down-03,False,,,
ハイテンション+,SR,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,,23,20,47,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down-000']",0,False,32000230000014,,e_effect-exam_block-0013,False,,e_effect-exam_block_restriction-02,False,,e_effect-exam_stamina_consumption_down-04,False,,,
ハイテンション++,SR,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,,23,20,0,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down-000']",0,False,32000230000014,,e_effect-exam_block-0015,False,,e_effect-exam_block_restriction-02,False,,e_effect-exam_stamina_consumption_down-04,False,,,
ハイテンション+++,SR,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,,23,20,0,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down-000']",0,False,32000230000014,,e_effect-exam_block-0017,False,,e_effect-exam_block_restriction-02,False,,e_effect-exam_stamina_consumption_down-04,False,,,
アイドル魂,SSR,フリー,メンタル,2,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,開始時獲得,False,,,False,デッキ内1枚,35,35,50,,,False,['effect_group-visible-exam_block-000'],0,False,42000350000003,,e_effect-exam_block-0006,False,,e_effect-exam_anti_debuff-01,False,,,,,,
アイドル魂+,SSR,フリー,メンタル,2,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,開始時獲得,False,,,False,デッキ内1枚,35,35,68,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_card_upgrade-000']",0,False,42000350000003,,e_effect-exam_block-0006,False,,e_effect-exam_anti_debuff-01,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_upgrade-p_card_search-hand-all-0_0,False,,,
アイドル魂++,SSR,フリー,メンタル,1,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,開始時獲得,False,,,True,デッキ内1枚,35,35,0,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_card_upgrade-000']",0,False,42000350000003,,e_effect-exam_block-0006,False,,e_effect-exam_anti_debuff-01,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_upgrade-p_card_search-hand-all-0_0,False,,,
アイドル魂+++,SSR,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,開始時獲得,False,,,True,デッキ内1枚,35,35,0,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_card_upgrade-000']",0,False,42000350000003,,e_effect-exam_block-0006,False,,e_effect-exam_anti_debuff-01,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_upgrade-p_card_search-hand-all-0_0,False,,,
仕切り直し,SSR,フリー,メンタル,5,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,40,40,50,,,False,"['effect_group-visible-exam_stamina_consumption_down-000', 'effect_group-visible-exam_hand_grave_count_card_draw-000', 'effect_group-visible-exam_playable_value_add-000']",0,False,42000400000005,,e_effect-exam_hand_grave_count_card_draw,False,,e_effect-exam_stamina_consumption_down-04,False,,e_effect-exam_playable_value_add-01,False,,,
仕切り直し+,SSR,フリー,メンタル,2,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,40,40,68,,,False,"['effect_group-visible-exam_stamina_consumption_down-000', 'effect_group-visible-exam_hand_grave_count_card_draw-000', 'effect_group-visible-exam_playable_value_add-000']",0,False,42000400000005,,e_effect-exam_hand_grave_count_card_draw,False,,e_effect-exam_stamina_consumption_down-04,False,,e_effect-exam_playable_value_add-01,False,,,
仕切り直し++,SSR,フリー,メンタル,1,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,40,40,0,,,False,"['effect_group-visible-exam_stamina_consumption_down-000', 'effect_group-visible-exam_hand_grave_count_card_draw-000', 'effect_group-visible-exam_playable_value_add-000']",0,False,42000400000005,,e_effect-exam_hand_grave_count_card_draw,False,,e_effect-exam_stamina_consumption_down-04,False,,e_effect-exam_playable_value_add-01,False,,,
仕切り直し+++,SSR,フリー,メンタル,0,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,40,40,0,,,False,"['effect_group-visible-exam_stamina_consumption_down-000', 'effect_group-visible-exam_hand_grave_count_card_draw-000', 'effect_group-visible-exam_playable_value_add-000']",0,False,42000400000005,,e_effect-exam_hand_grave_count_card_draw,False,,e_effect-exam_stamina_consumption_down-04,False,,e_effect-exam_playable_value_add-01,False,,,
叶えたい夢,SSR,フリー,メンタル,0,1,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,10,10,50,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down_fix-000']",0,False,42000100000011,,e_effect-exam_block-0008,False,,e_effect-exam_stamina_consumption_down_fix-0001-inf,False,,,,,,
叶えたい夢+,SSR,フリー,メンタル,0,1,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,10,10,68,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down_fix-000']",0,False,42000100000011,,e_effect-exam_block-0009,False,,e_effect-exam_stamina_consumption_down_fix-0002-inf,False,,,,,,
叶えたい夢++,SSR,フリー,メンタル,0,1,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,10,10,0,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down_fix-000']",0,False,42000100000011,,e_effect-exam_block-0012,False,,e_effect-exam_stamina_consumption_down_fix-0002-inf,False,,,,,,
叶えたい夢+++,SSR,フリー,メンタル,0,1,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,10,10,0,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down_fix-000']",0,False,42000100000011,,e_effect-exam_block-0015,False,,e_effect-exam_stamina_consumption_down_fix-0002-inf,False,,,,,,
テレビ出演,SSR,フリー,メンタル,1,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,5,5,50,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down-000']",0,False,42000050000012,,e_effect-exam_block-0003,False,,e_effect-exam_stamina_consumption_down-04,False,,,,,,
テレビ出演+,SSR,フリー,メンタル,1,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,5,5,68,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down-000']",0,False,42000050000012,,e_effect-exam_block-0005,False,,e_effect-exam_stamina_consumption_down-05,False,,,,,,
テレビ出演++,SSR,フリー,メンタル,1,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,5,5,0,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down-000']",0,False,42000050000012,,e_effect-exam_block-0008,False,,e_effect-exam_stamina_consumption_down-05,False,,,,,,
テレビ出演+++,SSR,フリー,メンタル,1,0,,0,,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,5,5,0,,,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_stamina_consumption_down-000']",0,False,42000050000012,,e_effect-exam_block-0011,False,,e_effect-exam_stamina_consumption_down-05,False,,,,,,
お姉ちゃんだもの！,SR,フリー,アクティブ,3,0,,0,e_trigger-exam_start_turn-condition_threshold_multiple_down-1000,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,0,0,32,,s_card-2-0000,False,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_card_draw-000']",0,False,39000010000025,,e_effect-exam_lesson-0006-01,False,,e_effect-exam_block-0006,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_draw-0001,False,,,
お姉ちゃんだもの！+,SR,フリー,アクティブ,3,0,,0,e_trigger-exam_start_turn-condition_threshold_multiple_down-1000,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,0,0,42,,s_card-2-0000,False,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_card_draw-000']",0,False,39000010000025,,e_effect-exam_lesson-0010-01,False,,e_effect-exam_block-0009,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_draw-0001,False,,,
お姉ちゃんだもの！++,SR,フリー,アクティブ,2,0,,0,e_trigger-exam_start_turn-condition_threshold_multiple_down-1000,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,0,0,0,,s_card-2-0000,False,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_card_draw-000']",0,False,39000010000025,,e_effect-exam_lesson-0011-01,False,,e_effect-exam_block-0009,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_draw-0001,False,,,
お姉ちゃんだもの！+++,SR,フリー,アクティブ,1,0,,0,e_trigger-exam_start_turn-condition_threshold_multiple_down-1000,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,0,0,0,,s_card-2-0000,False,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_card_draw-000']",0,False,39000010000025,,e_effect-exam_lesson-0011-01,False,,e_effect-exam_block-0009,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_draw-0001,False,,,
おアツイ視線,SR,フリー,メンタル,0,0,,0,e_trigger-exam_start_turn-no_block,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,0,0,32,,s_card-2-0002,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_stamina_consumption_down-000', 'effect_group-visible-exam_card_draw-000']",0,False,39000010000026,,e_effect-exam_block-0005,False,,e_effect-exam_stamina_consumption_down-02,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_draw-0001,False,,,
おアツイ視線+,SR,フリー,メンタル,0,0,,0,e_trigger-exam_start_turn-no_block,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,0,0,42,,s_card-2-0002,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_stamina_consumption_down-000', 'effect_group-visible-exam_card_draw-000']",0,False,39000010000026,,e_effect-exam_block-0006,False,,e_effect-exam_stamina_consumption_down-03,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_draw-0001,False,,,
おアツイ視線++,SR,フリー,メンタル,0,0,,0,e_trigger-exam_start_turn-no_block,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,0,0,0,,s_card-2-0002,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_stamina_consumption_down-000', 'effect_group-visible-exam_card_draw-000']",0,False,39000010000026,,e_effect-exam_block-0008,False,,e_effect-exam_stamina_consumption_down-03,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_draw-0001,False,,,
おアツイ視線+++,SR,フリー,メンタル,0,0,,0,e_trigger-exam_start_turn-no_block,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,0,0,0,,s_card-2-0002,False,"['effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_stamina_consumption_down-000', 'effect_group-visible-exam_card_draw-000']",0,False,39000010000026,,e_effect-exam_block-0010,False,,e_effect-exam_stamina_consumption_down-03,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_draw-0001,False,,,
ご指導ご鞭撻,SR,フリー,アクティブ,5,0,,0,e_trigger-exam_start_turn-stamina_up_multiple-500,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,0,0,32,,s_card-2-0004,False,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_card_upgrade-000']",0,False,39000010000027,,e_effect-exam_lesson-0004-01,False,,e_effect-exam_block-0005,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_upgrade-p_card_search-hand-all-0_0,False,,,
ご指導ご鞭撻+,SR,フリー,アクティブ,2,0,,0,e_trigger-exam_start_turn-stamina_up_multiple-500,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,0,0,42,,s_card-2-0004,False,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_card_upgrade-000']",0,False,39000010000027,,e_effect-exam_lesson-0004-01,False,,e_effect-exam_block-0005,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_upgrade-p_card_search-hand-all-0_0,False,,,
ご指導ご鞭撻++,SR,フリー,アクティブ,1,0,,0,e_trigger-exam_start_turn-stamina_up_multiple-500,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,0,0,0,,s_card-2-0004,False,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_card_upgrade-000']",0,False,39000010000027,,e_effect-exam_lesson-0004-01,False,,e_effect-exam_block-0005,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_upgrade-p_card_search-hand-all-0_0,False,,,
ご指導ご鞭撻+++,SR,フリー,アクティブ,0,0,,0,e_trigger-exam_start_turn-stamina_up_multiple-500,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,True,デッキ内1枚,0,0,0,,s_card-2-0004,False,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_block-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_card_upgrade-000']",0,False,39000010000027,,e_effect-exam_lesson-0004-01,False,,e_effect-exam_block-0005,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_upgrade-p_card_search-hand-all-0_0,False,,,
ストレッチ談義,SR,フリー,アクティブ,3,0,,0,e_trigger-exam_start_turn-turn_progress_up-3,レッスン中1回,ProduceCardMoveEffectTriggerType_Unknown,[],False,,False,,,False,デッキ内1枚,0,0,32,,s_card-2-0006,False,"['effect_group-visible-exam_lesson-000', 'effect_group-visible-exam_effect_timer-000', 'effect_group-visible-exam_stamina_consumption_down-000', 'effect_group-visible-exam_card_upgrade-000']",0,False,39000010000028,,e_effect-exam_lesson-0003-01,False,,e_effect-exam_stamina_consumption_down-02,False,,e_effect-exam_effect_timer-0001-01-e_effect-exam_card_upgrade-p_card_search-hand-all-0_0,False,,,
