rarity,type,name,supportCardOrder,produceSkillOrder,supportCardLevel,text,produceEffectId1,produceTriggerId1,activationRatePermil1,produceEffectId2,produceTriggerId2,activationRatePermil2,produceEffectId3,produceTriggerId3,activationRatePermil3,Effectbuf,Eventbuf1,Eventeffect1,Eventbuf2,Eventeffect2,itemcard,EventproduceEffectIds1,EventproduceEffectIds2,EventproduceEffectIds3,produceStoryIds1,produceStoryText1,produceitemText1,producecardText1,producecardType1,produceStoryIds2,produceStoryText2,produceitemText2,producecardText2,producecardType2,produceStoryIds3,produceStoryText3,produceitemText3,producecardText3,producecardType3,produceStoryIds4,produceStoryText4,produceitemText4,producecardText4,producecardType4
R,ビジュアル,念入りにストレッチ,3999900001,2,36,ビジュアルレッスン終了時、ビジュアル上昇+ 3,ビジュアル,ビジュアルレッスン,0,,,0,,,0,3,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,3,10,休む選択時、ビジュアル上昇+ 6,ビジュアル,休む,0,,,0,,,0,6,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,3,26,休む選択時、ビジュアル上昇+ 11,ビジュアル,休む,0,,,0,,,0,11,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,4,1,初期Pポイント+ 10,Pポイント加算,初期値,0,,,0,,,0,10,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,4,15,初期Pポイント+ 20,Pポイント加算,初期値,0,,,0,,,0,20,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,5,21,このサポートカードのイベントによるパラメータ上昇を 50% 増加,イベ強化,初期値,0,,,0,,,0,500,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,5,31,このサポートカードのイベントによるパラメータ上昇を 75% 増加,イベ強化,初期値,0,,,0,,,0,750,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,5,40,このサポートカードのイベントによるパラメータ上昇を 100% 増加,イベ強化,初期値,0,,,0,,,0,1000,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,2,このサポートカードのレッスンサポート発生率を 2.6% 増加,レッスンサポート,初期値,0,,,0,,,0,26,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,3,このサポートカードのレッスンサポート発生率を 5.1% 増加,レッスンサポート,初期値,0,,,0,,,0,51,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,4,このサポートカードのレッスンサポート発生率を 7.7% 増加,レッスンサポート,初期値,0,,,0,,,0,77,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,5,このサポートカードのレッスンサポート発生率を 10.3% 増加,レッスンサポート,初期値,0,,,0,,,0,103,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,6,このサポートカードのレッスンサポート発生率を 12.8% 増加,レッスンサポート,初期値,0,,,0,,,0,128,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,7,このサポートカードのレッスンサポート発生率を 15.4% 増加,レッスンサポート,初期値,0,,,0,,,0,154,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,8,このサポートカードのレッスンサポート発生率を 17.9% 増加,レッスンサポート,初期値,0,,,0,,,0,179,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,9,このサポートカードのレッスンサポート発生率を 20.5% 増加,レッスンサポート,初期値,0,,,0,,,0,205,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,10,このサポートカードのレッスンサポート発生率を 23.1% 増加,レッスンサポート,初期値,0,,,0,,,0,231,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,11,このサポートカードのレッスンサポート発生率を 25.6% 増加,レッスンサポート,初期値,0,,,0,,,0,256,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,12,このサポートカードのレッスンサポート発生率を 28.2% 増加,レッスンサポート,初期値,0,,,0,,,0,282,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,13,このサポートカードのレッスンサポート発生率を 30.8% 増加,レッスンサポート,初期値,0,,,0,,,0,308,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,14,このサポートカードのレッスンサポート発生率を 33.3% 増加,レッスンサポート,初期値,0,,,0,,,0,333,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,15,このサポートカードのレッスンサポート発生率を 35.9% 増加,レッスンサポート,初期値,0,,,0,,,0,359,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,16,このサポートカードのレッスンサポート発生率を 38.5% 増加,レッスンサポート,初期値,0,,,0,,,0,385,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,17,このサポートカードのレッスンサポート発生率を 41% 増加,レッスンサポート,初期値,0,,,0,,,0,410,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,18,このサポートカードのレッスンサポート発生率を 43.6% 増加,レッスンサポート,初期値,0,,,0,,,0,436,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,19,このサポートカードのレッスンサポート発生率を 46.2% 増加,レッスンサポート,初期値,0,,,0,,,0,462,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,20,このサポートカードのレッスンサポート発生率を 48.7% 増加,レッスンサポート,初期値,0,,,0,,,0,487,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,21,このサポートカードのレッスンサポート発生率を 51.3% 増加,レッスンサポート,初期値,0,,,0,,,0,513,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,22,このサポートカードのレッスンサポート発生率を 53.8% 増加,レッスンサポート,初期値,0,,,0,,,0,538,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,23,このサポートカードのレッスンサポート発生率を 56.4% 増加,レッスンサポート,初期値,0,,,0,,,0,564,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,24,このサポートカードのレッスンサポート発生率を 59% 増加,レッスンサポート,初期値,0,,,0,,,0,590,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,25,このサポートカードのレッスンサポート発生率を 61.5% 増加,レッスンサポート,初期値,0,,,0,,,0,615,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,26,このサポートカードのレッスンサポート発生率を 64.1% 増加,レッスンサポート,初期値,0,,,0,,,0,641,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,27,このサポートカードのレッスンサポート発生率を 66.7% 増加,レッスンサポート,初期値,0,,,0,,,0,667,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,28,このサポートカードのレッスンサポート発生率を 69.2% 増加,レッスンサポート,初期値,0,,,0,,,0,692,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,29,このサポートカードのレッスンサポート発生率を 71.8% 増加,レッスンサポート,初期値,0,,,0,,,0,718,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,30,このサポートカードのレッスンサポート発生率を 74.4% 増加,レッスンサポート,初期値,0,,,0,,,0,744,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,31,このサポートカードのレッスンサポート発生率を 76.9% 増加,レッスンサポート,初期値,0,,,0,,,0,769,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,32,このサポートカードのレッスンサポート発生率を 79.5% 増加,レッスンサポート,初期値,0,,,0,,,0,795,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,33,このサポートカードのレッスンサポート発生率を 82.1% 増加,レッスンサポート,初期値,0,,,0,,,0,821,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,34,このサポートカードのレッスンサポート発生率を 84.6% 増加,レッスンサポート,初期値,0,,,0,,,0,846,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,35,このサポートカードのレッスンサポート発生率を 87.2% 増加,レッスンサポート,初期値,0,,,0,,,0,872,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,36,このサポートカードのレッスンサポート発生率を 89.7% 増加,レッスンサポート,初期値,0,,,0,,,0,897,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,37,このサポートカードのレッスンサポート発生率を 92.3% 増加,レッスンサポート,初期値,0,,,0,,,0,923,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,38,このサポートカードのレッスンサポート発生率を 94.9% 増加,レッスンサポート,初期値,0,,,0,,,0,949,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,39,このサポートカードのレッスンサポート発生率を 97.4% 増加,レッスンサポート,初期値,0,,,0,,,0,974,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ビジュアル,念入りにストレッチ,3999900001,6,40,このサポートカードのレッスンサポート発生率を 100% 増加,レッスンサポート,初期値,0,,,0,,,0,1000,10,ビジュアル,10,Pポイント加算,,p_effect-visual_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0000-01,ビジュアル上昇+10,,,,p_story-s_card-1-0000-02,Pポイント+10,,,,,,,,,,,,,
R,ボーカル,全力、その後,3999900002,1,1,初期ボーカル上昇+ 12,ボーカル,初期値,0,,,0,,,0,12,10,ボーカル,10,Pポイント加算,,p_effect-vocal_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0001-01,ボーカル上昇+10,,,,p_story-s_card-1-0001-02,Pポイント+10,,,,,,,,,,,,,
R,ボーカル,全力、その後,3999900002,1,5,初期ボーカル上昇+ 15,ボーカル,初期値,0,,,0,,,0,15,10,ボーカル,10,Pポイント加算,,p_effect-vocal_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0001-01,ボーカル上昇+10,,,,p_story-s_card-1-0001-02,Pポイント+10,,,,,,,,,,,,,
R,ボーカル,全力、その後,3999900002,1,10,初期ボーカル上昇+ 18,ボーカル,初期値,0,,,0,,,0,18,10,ボーカル,10,Pポイント加算,,p_effect-vocal_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0001-01,ボーカル上昇+10,,,,p_story-s_card-1-0001-02,Pポイント+10,,,,,,,,,,,,,
R,ボーカル,全力、その後,3999900002,1,15,初期ボーカル上昇+ 20,ボーカル,初期値,0,,,0,,,0,20,10,ボーカル,10,Pポイント加算,,p_effect-vocal_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0001-01,ボーカル上昇+10,,,,p_story-s_card-1-0001-02,Pポイント+10,,,,,,,,,,,,,
R,ボーカル,全力、その後,3999900002,1,20,初期ボーカル上昇+ 22,ボーカル,初期値,0,,,0,,,0,22,10,ボーカル,10,Pポイント加算,,p_effect-vocal_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0001-01,ボーカル上昇+10,,,,p_story-s_card-1-0001-02,Pポイント+10,,,,,,,,,,,,,
R,ボーカル,全力、その後,3999900002,1,25,初期ボーカル上昇+ 24,ボーカル,初期値,0,,,0,,,0,24,10,ボーカル,10,Pポイント加算,,p_effect-vocal_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0001-01,ボーカル上昇+10,,,,p_story-s_card-1-0001-02,Pポイント+10,,,,,,,,,,,,,
R,ボーカル,全力、その後,3999900002,1,30,初期ボーカル上昇+ 26,ボーカル,初期値,0,,,0,,,0,26,10,ボーカル,10,Pポイント加算,,p_effect-vocal_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0001-01,ボーカル上昇+10,,,,p_story-s_card-1-0001-02,Pポイント+10,,,,,,,,,,,,,
R,ボーカル,全力、その後,3999900002,1,35,初期ボーカル上昇+ 28,ボーカル,初期値,0,,,0,,,0,28,10,ボーカル,10,Pポイント加算,,p_effect-vocal_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0001-01,ボーカル上昇+10,,,,p_story-s_card-1-0001-02,Pポイント+10,,,,,,,,,,,,,
R,ボーカル,全力、その後,3999900002,1,40,初期ボーカル上昇+ 30,ボーカル,初期値,0,,,0,,,0,30,10,ボーカル,10,Pポイント加算,,p_effect-vocal_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0001-01,ボーカル上昇+10,,,,p_story-s_card-1-0001-02,Pポイント+10,,,,,,,,,,,,,
R,ボーカル,全力、その後,3999900002,2,5,ボーカルレッスン終了時、ボーカル上昇+ 1,ボーカル,ボーカルレッスン,0,,,0,,,0,1,10,ボーカル,10,Pポイント加算,,p_effect-vocal_addition-0010_0010,p_effect-produce_point_addition-0010_0010,,p_story-s_card-1-0001-01,ボーカル上昇+10,,,,p_story-s_card-1-0001-02,Pポイント+10,,,,,,,,,,,,,
